{'iter_num': 5000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 70], [train loss 2.83859], [loss_fuse 0.29638], [loss1_h2l 0.31704], [loss2_h2l 0.31473], [loss3_h2l 0.31533], [loss4_h2l 0.33309], [loss1_l2h 0.31532], [loss2_l2h 0.31427], [loss3_l2h 0.31509], [loss4_l2h 0.31734], [lr 0.0049378569326]
[iter 71], [train loss 2.84197], [loss_fuse 0.29712], [loss1_h2l 0.31710], [loss2_h2l 0.31478], [loss3_h2l 0.31521], [loss4_h2l 0.33324], [loss1_l2h 0.31573], [loss2_l2h 0.31490], [loss3_l2h 0.31579], [loss4_l2h 0.31810], [lr 0.0049369556719]
[iter 72], [train loss 2.82782], [loss_fuse 0.29550], [loss1_h2l 0.31517], [loss2_h2l 0.31289], [loss3_h2l 0.31348], [loss4_h2l 0.33187], [loss1_l2h 0.31441], [loss2_l2h 0.31351], [loss3_l2h 0.31434], [loss4_l2h 0.31665], [lr 0.0049360543930]
[iter 73], [train loss 2.82711], [loss_fuse 0.29547], [loss1_h2l 0.31464], [loss2_h2l 0.31225], [loss3_h2l 0.31277], [loss4_h2l 0.33132], [loss1_l2h 0.31473], [loss2_l2h 0.31397], [loss3_l2h 0.31492], [loss4_l2h 0.31704], [lr 0.0049351530958]
[iter 74], [train loss 2.82069], [loss_fuse 0.29476], [loss1_h2l 0.31389], [loss2_h2l 0.31151], [loss3_h2l 0.31194], [loss4_h2l 0.33063], [loss1_l2h 0.31418], [loss2_l2h 0.31333], [loss3_l2h 0.31420], [loss4_l2h 0.31626], [lr 0.0049342517803]
[iter 75], [train loss 2.80629], [loss_fuse 0.29312], [loss1_h2l 0.31256], [loss2_h2l 0.31023], [loss3_h2l 0.31065], [loss4_h2l 0.32950], [loss1_l2h 0.31226], [loss2_l2h 0.31138], [loss3_l2h 0.31227], [loss4_l2h 0.31433], [lr 0.0049333504465]
[iter 76], [train loss 2.79882], [loss_fuse 0.29213], [loss1_h2l 0.31162], [loss2_h2l 0.30936], [loss3_h2l 0.30999], [loss4_h2l 0.32946], [loss1_l2h 0.31139], [loss2_l2h 0.31038], [loss3_l2h 0.31116], [loss4_l2h 0.31333], [lr 0.0049324490943]
[iter 77], [train loss 2.78647], [loss_fuse 0.29057], [loss1_h2l 0.31016], [loss2_h2l 0.30792], [loss3_h2l 0.30875], [loss4_h2l 0.32855], [loss1_l2h 0.31012], [loss2_l2h 0.30894], [loss3_l2h 0.30960], [loss4_l2h 0.31186], [lr 0.0049315477239]
[iter 78], [train loss 2.77796], [loss_fuse 0.28963], [loss1_h2l 0.30892], [loss2_h2l 0.30666], [loss3_h2l 0.30755], [loss4_h2l 0.32744], [loss1_l2h 0.30955], [loss2_l2h 0.30823], [loss3_l2h 0.30887], [loss4_l2h 0.31111], [lr 0.0049306463352]
[iter 79], [train loss 2.76923], [loss_fuse 0.28855], [loss1_h2l 0.30769], [loss2_h2l 0.30546], [loss3_h2l 0.30630], [loss4_h2l 0.32640], [loss1_l2h 0.30911], [loss2_l2h 0.30747], [loss3_l2h 0.30805], [loss4_l2h 0.31021], [lr 0.0049297449282]
[iter 80], [train loss 2.75411], [loss_fuse 0.28680], [loss1_h2l 0.30612], [loss2_h2l 0.30388], [loss3_h2l 0.30488], [loss4_h2l 0.32513], [loss1_l2h 0.30733], [loss2_l2h 0.30555], [loss3_l2h 0.30609], [loss4_l2h 0.30832], [lr 0.0049288435029]
[iter 81], [train loss 2.73915], [loss_fuse 0.28503], [loss1_h2l 0.30454], [loss2_h2l 0.30231], [loss3_h2l 0.30356], [loss4_h2l 0.32395], [loss1_l2h 0.30567], [loss2_l2h 0.30359], [loss3_l2h 0.30413], [loss4_l2h 0.30637], [lr 0.0049279420592]
[iter 82], [train loss 2.73068], [loss_fuse 0.28396], [loss1_h2l 0.30327], [loss2_h2l 0.30105], [loss3_h2l 0.30241], [loss4_h2l 0.32320], [loss1_l2h 0.30523], [loss2_l2h 0.30285], [loss3_l2h 0.30324], [loss4_l2h 0.30546], [lr 0.0049270405972]
